EmployeeNumber,Age,Department,Education,EducationField,Gender,JobRole,JobSatisfaction,MonthlyIncome,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion
958,36,Research & Development,4,Medical,Male,Laboratory Technician,3,2519,4,16,11,3
959,19,Sales,3,Other,Male,Sales Representative,2,2121,3,1,1,0
960,20,Research & Development,3,Technical Degree,Male,Laboratory Technician,1,2973,3,1,1,0
961,31,Research & Development,3,Medical,Female,Healthcare Representative,4,5855,3,10,9,8
964,40,Research & Development,4,Medical,Male,Research Scientist,2,3617,3,3,1,0
966,32,Research & Development,4,Medical,Female,Manufacturing Director,1,6725,3,8,8,6
967,36,Sales,1,Life Sciences,Male,Sales Executive,4,10325,3,16,16,3
969,33,Research & Development,3,Life Sciences,Female,Healthcare Representative,4,6949,3,6,5,1
970,37,Sales,4,Life Sciences,Male,Sales Executive,3,10609,3,17,14,11
972,45,Research & Development,2,Life Sciences,Male,Laboratory Technician,2,4447,3,9,9,0
974,29,Sales,3,Technical Degree,Female,Sales Representative,4,2157,3,3,3,0
975,35,Sales,3,Medical,Female,Sales Executive,3,4601,3,5,5,1
976,52,Research & Development,2,Life Sciences,Male,Manager,4,17099,3,26,9,7
977,58,Research & Development,3,Technical Degree,Male,Research Scientist,3,2479,4,7,1,0
981,53,Sales,2,Medical,Male,Manager,3,14852,3,22,17,15
982,30,Sales,2,Other,Male,Sales Executive,3,7264,3,10,8,7
983,38,Sales,3,Technical Degree,Female,Sales Executive,4,5666,3,6,5,1
984,35,Sales,4,Life Sciences,Male,Sales Executive,4,7823,3,12,10,0
985,39,Sales,5,Life Sciences,Male,Sales Executive,3,7880,3,9,8,0
986,40,Sales,3,Life Sciences,Female,Sales Executive,2,13194,3,22,1,0
987,47,Research & Development,4,Medical,Male,Manufacturing Director,3,5067,3,20,19,2
990,36,Sales,4,Technical Degree,Male,Sales Executive,4,5079,3,12,7,0
991,31,Research & Development,2,Medical,Male,Research Scientist,1,2321,4,4,3,1
992,33,Sales,3,Life Sciences,Male,Manager,3,17444,3,10,10,6
994,29,Research & Development,3,Life Sciences,Female,Research Scientist,1,2404,4,3,0,0
995,33,Research & Development,1,Life Sciences,Female,Research Scientist,4,3452,3,5,3,0
996,45,Research & Development,4,Medical,Female,Laboratory Technician,4,2270,3,8,5,0
997,50,Research & Development,2,Medical,Male,Research Director,4,17399,4,32,5,1
998,33,Research & Development,4,Other,Female,Healthcare Representative,2,5488,3,6,6,1
999,41,Research & Development,3,Medical,Male,Research Director,3,19419,3,21,18,0
1001,27,Research & Development,4,Technical Degree,Female,Laboratory Technician,2,2811,3,4,2,2
1002,45,Research & Development,2,Life Sciences,Male,Laboratory Technician,1,3633,3,9,9,0
1003,47,Sales,2,Life Sciences,Female,Sales Executive,4,4163,3,9,9,0
1004,30,Research & Development,3,Life Sciences,Female,Research Scientist,3,2132,3,7,5,0
1005,50,Research & Development,3,Life Sciences,Male,Manufacturing Director,3,13973,3,22,12,1
1006,38,Research & Development,1,Medical,Male,Research Scientist,3,2684,3,3,2,0
1007,46,Research & Development,2,Medical,Male,Manufacturing Director,3,10845,3,13,8,0
1009,24,Research & Development,1,Medical,Female,Manufacturing Director,3,4377,3,5,4,3
1010,35,Research & Development,4,Other,Male,Laboratory Technician,2,3743,4,5,4,0
1011,31,Research & Development,1,Life Sciences,Female,Manufacturing Director,1,4148,3,4,4,0
1012,18,Research & Development,2,Life Sciences,Male,Research Scientist,4,1051,3,0,0,0
1013,54,Research & Development,3,Technical Degree,Female,Manufacturing Director,3,10739,3,22,10,0
1014,35,Research & Development,4,Medical,Female,Healthcare Representative,3,10388,3,16,16,10
1015,30,Research & Development,2,Life Sciences,Female,Research Director,1,11416,3,9,8,1
1016,20,Research & Development,3,Medical,Female,Research Scientist,1,2600,3,1,1,0
1017,30,Research & Development,3,Medical,Female,Laboratory Technician,2,2422,3,4,3,1
1018,26,Research & Development,2,Medical,Male,Manufacturing Director,4,5472,3,8,8,1
1019,22,Research & Development,1,Life Sciences,Male,Laboratory Technician,1,2451,3,4,4,1
1022,48,Research & Development,3,Life Sciences,Male,Healthcare Representative,3,4240,3,19,2,2
1024,48,Research & Development,4,Life Sciences,Male,Healthcare Representative,3,10999,3,27,15,4
1025,41,Research & Development,2,Medical,Female,Manufacturing Director,3,5003,3,8,2,2
1026,39,Research & Development,1,Life Sciences,Female,Manufacturing Director,4,12742,3,21,21,11
1027,27,Research & Development,4,Life Sciences,Female,Manufacturing Director,4,4227,3,4,3,2
1028,35,Research & Development,3,Other,Male,Laboratory Technician,4,3917,4,3,3,1
1029,42,Sales,2,Marketing,Male,Manager,3,18303,3,21,1,0
1030,50,Research & Development,3,Life Sciences,Male,Laboratory Technician,4,2380,3,8,1,0
1032,59,Research & Development,3,Life Sciences,Female,Manufacturing Director,4,13726,3,30,5,4
1033,37,Research & Development,2,Medical,Female,Healthcare Representative,2,4777,3,15,1,0
1034,55,Research & Development,4,Medical,Male,Healthcare Representative,2,6385,3,17,8,6
1035,41,Research & Development,1,Life Sciences,Female,Research Director,3,19973,4,21,21,5
1036,38,Sales,4,Life Sciences,Male,Sales Executive,4,6861,3,19,1,0
1037,26,Sales,2,Medical,Male,Sales Executive,1,4969,3,7,2,2
1038,52,Sales,1,Marketing,Female,Manager,4,19845,3,33,32,6
1039,44,Sales,3,Medical,Female,Sales Executive,4,13320,3,23,12,11
1040,50,Sales,3,Life Sciences,Female,Sales Executive,3,6347,3,19,18,0
1042,36,Research & Development,4,Life Sciences,Female,Laboratory Technician,1,2743,3,18,17,15
1043,39,Research & Development,3,Medical,Female,Manufacturing Director,1,10880,3,21,21,2
1044,33,Sales,1,Life Sciences,Female,Sales Representative,4,2342,3,3,2,2
1045,45,Sales,2,Life Sciences,Female,Manager,4,17650,3,26,9,1
1046,32,Research & Development,4,Medical,Female,Laboratory Technician,3,4025,3,10,8,7
1047,34,Sales,4,Marketing,Male,Sales Executive,4,9725,3,16,15,0
1048,59,Sales,2,Technical Degree,Male,Manager,4,11904,3,14,6,0
1049,45,Human Resources,4,Medical,Male,Human Resources,2,2177,3,6,6,0
1050,53,Sales,3,Marketing,Female,Sales Executive,2,7525,3,30,15,6
1052,36,Research & Development,3,Other,Male,Laboratory Technician,3,4834,3,9,1,0
1053,26,Research & Development,3,Life Sciences,Male,Research Scientist,1,2042,3,6,3,1
1055,34,Sales,4,Life Sciences,Female,Sales Representative,3,2220,3,1,1,0
1056,28,Sales,1,Medical,Male,Sales Representative,2,1052,4,1,1,0
1060,38,Research & Development,4,Other,Male,Research Scientist,3,2821,3,8,2,2
1061,50,Research & Development,4,Medical,Male,Research Director,3,19237,3,29,8,7
1062,37,Research & Development,3,Other,Female,Healthcare Representative,2,4107,3,8,4,0
1066,40,Sales,3,Marketing,Male,Sales Executive,1,8396,3,8,7,7
1068,26,Research & Development,1,Medical,Female,Research Scientist,3,2007,3,5,5,1
1069,46,Research & Development,4,Medical,Male,Research Director,4,19627,3,23,2,2
1070,54,Sales,4,Life Sciences,Female,Sales Executive,3,10686,3,13,9,7
1071,56,Research & Development,3,Medical,Female,Research Scientist,3,2942,3,18,5,0
1073,36,Research & Development,5,Medical,Female,Manufacturing Director,4,8858,3,15,14,7
1074,55,Research & Development,1,Medical,Male,Manager,1,16756,3,31,9,6
1076,43,Sales,3,Medical,Male,Sales Executive,4,10798,3,18,1,0
1077,20,Sales,3,Marketing,Female,Sales Representative,4,2323,3,2,2,0
1079,21,Research & Development,3,Life Sciences,Female,Laboratory Technician,1,1416,3,1,1,1
1080,46,Research & Development,4,Life Sciences,Female,Research Scientist,1,4615,4,19,16,1
1081,51,Research & Development,4,Life Sciences,Male,Research Scientist,3,2461,3,18,10,2
1082,28,Research & Development,2,Technical Degree,Male,Healthcare Representative,1,8722,3,10,10,1
1083,26,Research & Development,2,Medical,Male,Laboratory Technician,1,3955,3,6,5,1
1084,30,Research & Development,3,Other,Male,Manufacturing Director,1,9957,3,7,6,0
1085,41,Research & Development,2,Technical Degree,Female,Research Scientist,3,3376,3,10,10,0
1088,38,Research & Development,1,Life Sciences,Female,Healthcare Representative,3,8823,3,20,19,1
1092,40,Research & Development,4,Technical Degree,Male,Healthcare Representative,4,10322,4,14,11,11
1094,27,Research & Development,5,Life Sciences,Male,Laboratory Technician,3,4621,3,3,3,1
1096,55,Research & Development,1,Life Sciences,Male,Manufacturing Director,2,10976,3,23,3,1
1097,28,Research & Development,3,Other,Female,Research Scientist,3,3660,3,10,8,1
1098,44,Human Resources,2,Medical,Male,Human Resources,1,10482,3,24,20,3
1099,33,Research & Development,3,Life Sciences,Male,Healthcare Representative,4,7119,3,9,3,1
1100,35,Sales,3,Technical Degree,Male,Sales Executive,1,9582,4,9,8,4
1101,33,Research & Development,4,Medical,Female,Research Scientist,3,4508,4,14,13,3
1102,28,Research & Development,2,Life Sciences,Male,Laboratory Technician,3,2207,3,4,4,2
1103,34,Research & Development,1,Life Sciences,Male,Healthcare Representative,4,7756,3,7,6,0
1105,37,Sales,4,Life Sciences,Female,Sales Executive,4,6694,3,8,1,0
1106,25,Research & Development,1,Technical Degree,Male,Laboratory Technician,4,3691,3,7,7,5
1107,26,Research & Development,3,Medical,Male,Laboratory Technician,3,2377,4,1,1,0
1108,33,Research & Development,3,Medical,Male,Research Scientist,2,2313,4,5,2,2
1109,42,Research & Development,2,Medical,Male,Manager,1,17665,3,23,22,13
1111,28,Research & Development,3,Medical,Male,Laboratory Technician,2,2596,3,1,1,0
1113,50,Sales,4,Other,Male,Sales Executive,3,4728,3,5,0,0
1114,33,Sales,3,Life Sciences,Female,Sales Executive,2,4302,3,4,3,0
1115,34,Research & Development,4,Life Sciences,Male,Research Scientist,4,2979,3,6,0,0
1116,48,Research & Development,4,Medical,Male,Manager,4,16885,4,27,5,2
1117,45,Sales,4,Life Sciences,Female,Sales Executive,3,5593,3,15,15,4
1118,52,Research & Development,4,Life Sciences,Male,Healthcare Representative,2,10445,3,18,8,4
1119,38,Sales,4,Marketing,Male,Sales Executive,3,8740,3,9,8,2
1120,29,Research & Development,4,Life Sciences,Female,Research Scientist,4,2514,4,11,7,1
1121,28,Research & Development,3,Medical,Female,Manufacturing Director,2,7655,3,10,9,1
1124,46,Sales,1,Marketing,Male,Manager,3,17465,3,23,12,4
1125,38,Sales,2,Marketing,Male,Sales Executive,2,7351,3,10,1,0
1126,43,Research & Development,3,Life Sciences,Female,Manufacturing Director,1,10820,3,18,8,0
1127,39,Research & Development,3,Life Sciences,Male,Healthcare Representative,4,12169,3,21,18,11
1128,40,Research & Development,3,Medical,Male,Research Director,3,19626,3,21,20,4
1131,21,Research & Development,1,Technical Degree,Female,Research Scientist,2,2070,3,2,2,2
1132,39,Research & Development,3,Life Sciences,Male,Laboratory Technician,2,6782,3,9,5,0
1133,36,Research & Development,4,Life Sciences,Male,Manufacturing Director,4,7779,4,18,11,0
1135,31,Sales,3,Life Sciences,Male,Sales Representative,4,2791,3,3,2,2
1136,28,Research & Development,1,Life Sciences,Male,Research Scientist,2,3201,3,6,5,0
1137,35,Sales,2,Marketing,Male,Sales Executive,4,4968,3,5,5,0
1138,49,Sales,4,Technical Degree,Male,Sales Executive,2,13120,3,22,9,2
1140,34,Research & Development,2,Life Sciences,Male,Manufacturing Director,3,4033,3,5,3,0
1143,29,Research & Development,3,Life Sciences,Female,Research Scientist,2,3291,3,8,7,1
1148,42,Research & Development,3,Medical,Male,Laboratory Technician,4,4272,3,16,1,0
1150,29,Research & Development,1,Medical,Male,Manufacturing Director,4,5056,3,10,10,1
1152,38,Human Resources,3,Human Resources,Male,Human Resources,3,2844,3,7,7,5
1154,28,Research & Development,3,Life Sciences,Male,Research Scientist,3,2703,3,3,3,0
1156,18,Research & Development,1,Medical,Male,Laboratory Technician,3,1904,3,0,0,0
1157,33,Sales,4,Marketing,Female,Sales Executive,1,8224,3,6,5,0
1158,41,Research & Development,4,Life Sciences,Male,Laboratory Technician,4,4766,3,6,1,0
1160,31,Research & Development,3,Medical,Male,Laboratory Technician,3,2610,3,2,2,2
1161,37,Research & Development,2,Medical,Female,Healthcare Representative,4,5731,3,9,6,1
1162,27,Research & Development,3,Life Sciences,Male,Research Scientist,3,2539,3,4,4,2
1163,34,Sales,1,Life Sciences,Female,Sales Executive,3,5714,4,6,6,1
1164,35,Human Resources,4,Technical Degree,Male,Human Resources,3,4323,3,6,5,1
1165,29,Sales,1,Life Sciences,Female,Sales Executive,1,7336,3,11,11,3
1166,40,Research & Development,4,Medical,Female,Research Director,3,13499,3,20,18,2
1167,42,Sales,3,Life Sciences,Male,Sales Executive,1,13758,3,22,21,13
1171,42,Sales,4,Marketing,Male,Sales Executive,1,5155,3,9,6,1
1172,35,Research & Development,4,Medical,Male,Laboratory Technician,3,2258,3,10,8,1
1173,24,Research & Development,3,Medical,Male,Laboratory Technician,2,3597,4,6,4,1
1175,28,Research & Development,1,Life Sciences,Female,Laboratory Technician,4,2515,3,1,1,0
1177,26,Research & Development,4,Medical,Male,Laboratory Technician,4,4420,4,8,8,0
1179,30,Sales,3,Marketing,Male,Sales Executive,3,6578,3,10,10,1
1180,40,Research & Development,2,Medical,Female,Research Scientist,4,4422,3,16,1,0
1182,35,Research & Development,3,Life Sciences,Male,Manufacturing Director,2,10274,3,15,7,6
1184,34,Research & Development,3,Medical,Male,Healthcare Representative,1,5343,4,14,13,4
1185,35,Research & Development,4,Other,Male,Laboratory Technician,4,2376,3,2,2,2
1188,43,Sales,3,Marketing,Female,Sales Executive,3,5346,3,7,4,1
1190,32,Sales,1,Life Sciences,Female,Sales Representative,1,2827,3,1,1,0
1191,56,Research & Development,4,Technical Degree,Female,Manager,1,19943,3,28,5,4
1192,29,Research & Development,1,Medical,Female,Laboratory Technician,4,3131,3,10,10,0
1193,19,Research & Development,2,Life Sciences,Male,Research Scientist,1,2552,4,1,1,0
1195,45,Research & Development,3,Medical,Female,Research Scientist,3,4477,3,7,3,0
1196,37,Research & Development,3,Life Sciences,Female,Manufacturing Director,4,6474,3,14,14,3
1198,20,Research & Development,3,Life Sciences,Male,Laboratory Technician,3,3033,3,2,2,1
1200,44,Research & Development,4,Life Sciences,Male,Research Scientist,3,2936,3,6,6,0
1201,53,Research & Development,2,Medical,Female,Manager,3,18606,3,26,7,4
1202,29,Research & Development,1,Life Sciences,Female,Research Scientist,4,2168,3,6,5,1
1203,22,Research & Development,4,Life Sciences,Male,Research Scientist,4,2853,3,1,0,0
1204,46,Sales,3,Marketing,Female,Manager,1,17048,4,28,26,15
1206,44,Research & Development,3,Life Sciences,Male,Research Scientist,3,2290,3,6,0,0
1207,33,Human Resources,3,Human Resources,Male,Human Resources,3,3600,3,5,5,1
1210,41,Research & Development,2,Life Sciences,Male,Research Scientist,1,2107,3,5,1,0
1211,30,Sales,4,Life Sciences,Male,Sales Executive,1,4115,3,8,4,0
1212,40,Sales,4,Medical,Male,Sales Executive,2,4327,3,5,0,0
1215,50,Research & Development,3,Medical,Female,Manager,1,17856,4,32,2,2
1216,28,Research & Development,4,Medical,Male,Laboratory Technician,1,3196,3,6,6,3
1217,46,Research & Development,2,Life Sciences,Male,Research Director,2,19081,3,25,4,0
1218,35,Sales,4,Life Sciences,Male,Sales Executive,1,8966,3,15,7,1
1219,24,Research & Development,2,Life Sciences,Female,Laboratory Technician,2,2210,3,1,1,0
1220,33,Sales,3,Medical,Female,Sales Executive,3,4539,3,10,10,0
1221,36,Research & Development,4,Life Sciences,Male,Laboratory Technician,3,2741,3,7,7,1
1224,30,Research & Development,4,Life Sciences,Male,Laboratory Technician,3,3491,3,10,10,8
1225,44,Research & Development,4,Other,Male,Research Scientist,4,4541,4,20,20,13
1226,20,Sales,3,Marketing,Male,Sales Representative,4,2678,3,2,2,2
1228,46,Research & Development,4,Technical Degree,Male,Manufacturing Director,4,7379,3,12,6,1
1231,42,Human Resources,5,Medical,Male,Human Resources,1,6272,3,10,4,0
1233,60,Sales,4,Marketing,Male,Sales Executive,4,5220,3,12,11,1
1234,32,Research & Development,3,Other,Female,Laboratory Technician,2,2743,4,2,2,2
1235,32,Research & Development,2,Life Sciences,Female,Research Scientist,3,4998,3,10,8,0
1237,36,Research & Development,3,Technical Degree,Female,Manufacturing Director,1,10252,4,17,7,7
1238,33,Research & Development,3,Medical,Male,Research Scientist,4,2781,3,15,14,4
1239,40,Sales,3,Technical Degree,Female,Sales Executive,2,6852,3,7,5,1
1240,25,Sales,4,Life Sciences,Male,Sales Executive,4,4950,3,5,4,1
1241,30,Research & Development,3,Medical,Male,Research Scientist,2,3579,4,12,11,5
1242,42,Research & Development,5,Medical,Female,Research Director,1,13191,3,20,1,0
1243,35,Sales,2,Marketing,Female,Sales Executive,4,10377,3,16,13,4
1244,27,Research & Development,3,Life Sciences,Male,Research Scientist,1,2235,3,9,9,6
1245,54,Research & Development,4,Life Sciences,Female,Manufacturing Director,3,10502,3,33,5,1
1246,44,Research & Development,1,Life Sciences,Female,Research Scientist,4,2011,3,10,10,7
1248,19,Research & Development,3,Medical,Female,Research Scientist,2,1859,4,1,1,0
1249,29,Research & Development,3,Life Sciences,Female,Research Scientist,4,3760,3,3,3,1
1250,54,Research & Development,3,Life Sciences,Male,Research Director,4,17779,3,36,10,0
1251,31,Research & Development,2,Medical,Male,Healthcare Representative,1,6833,3,6,6,0
1252,31,Research & Development,3,Medical,Female,Healthcare Representative,1,6812,3,10,10,1
1254,59,Sales,3,Life Sciences,Female,Sales Executive,4,5171,3,13,6,0
1255,43,Research & Development,3,Life Sciences,Male,Research Director,4,19740,3,25,8,0
1256,49,Research & Development,2,Medical,Male,Manager,3,18711,3,23,1,0
1257,36,Research & Development,3,Technical Degree,Male,Research Scientist,2,3692,3,12,11,0
1258,48,Research & Development,2,Technical Degree,Male,Laboratory Technician,2,2559,3,7,1,0
1259,27,Research & Development,2,Life Sciences,Male,Research Scientist,3,2517,3,5,5,0
1260,29,Research & Development,3,Life Sciences,Male,Healthcare Representative,4,6623,3,6,6,1
1263,48,Research & Development,3,Life Sciences,Male,Research Director,4,18265,3,25,1,0
1264,29,Research & Development,3,Life Sciences,Female,Research Director,4,16124,3,9,7,1
1265,34,Research & Development,3,Technical Degree,Female,Research Scientist,3,2585,3,2,1,0
1267,44,Sales,3,Marketing,Male,Manager,2,18213,3,26,22,3
1268,33,Sales,5,Marketing,Male,Sales Executive,3,8380,3,10,9,0
1269,19,Research & Development,3,Life Sciences,Female,Research Scientist,4,2994,3,1,1,0
1270,23,Research & Development,2,Life Sciences,Male,Research Scientist,3,1223,4,1,1,0
1273,25,Sales,1,Life Sciences,Male,Sales Representative,4,1118,3,1,1,1
1275,26,Research & Development,2,Life Sciences,Male,Research Scientist,4,2875,4,8,8,2
1277,45,Sales,3,Marketing,Female,Manager,2,18824,3,26,24,1
1278,55,Research & Development,1,Medical,Male,Healthcare Representative,2,13577,3,34,33,15
1279,21,Research & Development,2,Life Sciences,Female,Laboratory Technician,3,2625,4,2,2,2
1280,46,Sales,2,Marketing,Female,Manager,2,18789,3,26,11,0
1281,34,Sales,3,Marketing,Female,Sales Executive,1,4538,3,4,3,0
1282,51,Sales,3,Life Sciences,Male,Manager,2,19847,4,31,29,11
1283,59,Research & Development,4,Medical,Male,Manufacturing Director,4,10512,3,25,9,5
1285,34,Research & Development,3,Medical,Female,Laboratory Technician,2,4444,3,15,11,5
1286,28,Research & Development,4,Medical,Male,Laboratory Technician,3,2154,3,5,4,0
1288,44,Research & Development,2,Life Sciences,Male,Manager,1,19190,3,26,25,14
1289,34,Human Resources,3,Life Sciences,Male,Human Resources,2,4490,3,14,10,1
1291,35,Research & Development,1,Life Sciences,Male,Research Scientist,3,3506,3,4,3,2
1292,42,Research & Development,4,Medical,Female,Research Scientist,2,2372,3,18,1,0
1293,43,Sales,4,Marketing,Female,Sales Executive,4,10231,3,23,21,15
1294,36,Research & Development,4,Life Sciences,Female,Manufacturing Director,2,5410,3,18,16,5
1295,44,Research & Development,3,Medical,Female,Healthcare Representative,4,7978,3,10,10,0
1296,28,Research & Development,3,Life Sciences,Male,Laboratory Technician,4,3867,3,2,2,2
1297,51,Research & Development,2,Medical,Female,Laboratory Technician,3,2838,3,8,7,7
1298,30,Research & Development,2,Medical,Female,Manufacturing Director,3,4695,3,10,8,1
1299,29,Research & Development,3,Technical Degree,Female,Laboratory Technician,3,3339,3,10,7,7
1301,28,Research & Development,3,Technical Degree,Male,Research Scientist,1,2080,3,5,3,1
1303,25,Research & Development,3,Medical,Female,Research Scientist,2,2096,3,2,2,2
1304,32,Sales,3,Medical,Male,Sales Executive,4,6209,3,10,10,0
1306,45,Research & Development,3,Medical,Female,Manager,2,18061,4,22,0,0
1307,39,Research & Development,4,Medical,Female,Manager,2,17123,3,21,19,15
1308,58,Research & Development,4,Life Sciences,Male,Research Scientist,3,2372,3,2,2,2
1309,32,Research & Development,2,Life Sciences,Male,Laboratory Technician,3,4883,3,10,10,1
1310,39,Research & Development,3,Medical,Male,Research Scientist,1,3904,3,6,5,0
1311,30,Research & Development,3,Technical Degree,Female,Laboratory Technician,4,4627,3,10,9,6
1312,36,Research & Development,4,Technical Degree,Female,Healthcare Representative,3,7094,3,10,7,1
1314,46,Human Resources,2,Life Sciences,Female,Human Resources,1,3423,3,10,7,5
1315,28,Research & Development,3,Life Sciences,Female,Laboratory Technician,4,6674,3,10,9,7
1317,50,Research & Development,3,Life Sciences,Female,Research Director,1,16880,3,25,3,1
1318,40,Sales,4,Marketing,Male,Sales Executive,2,9094,3,9,5,1
1319,52,Sales,3,Life Sciences,Male,Sales Executive,2,8446,3,10,8,7
1321,30,Research & Development,4,Medical,Female,Manager,1,11916,4,9,9,0
1322,39,Research & Development,2,Life Sciences,Male,Manufacturing Director,3,4534,3,9,8,1
1324,31,Sales,4,Life Sciences,Female,Sales Executive,3,9852,3,10,10,9
1329,41,Sales,2,Medical,Male,Sales Executive,2,6151,3,19,19,11
1331,31,Sales,3,Life Sciences,Female,Sales Representative,2,2302,3,3,3,2
1333,44,Research & Development,3,Life Sciences,Male,Laboratory Technician,1,2362,3,10,3,1
1334,42,Research & Development,1,Life Sciences,Male,Manager,3,17861,3,21,20,2
1336,55,Research & Development,2,Medical,Female,Manager,3,19187,3,23,19,9
1338,56,Human Resources,4,Life Sciences,Male,Manager,2,19717,3,36,7,7
1340,40,Research & Development,2,Life Sciences,Male,Research Scientist,3,3544,3,6,4,0
1344,34,Research & Development,3,Life Sciences,Male,Healthcare Representative,4,8500,3,10,9,1
1346,40,Research & Development,3,Life Sciences,Male,Research Scientist,4,4661,3,9,9,8
1349,41,Sales,3,Marketing,Female,Sales Executive,1,4103,3,10,9,1
1350,35,Research & Development,4,Life Sciences,Male,Research Scientist,3,4249,3,9,9,1
1352,51,Human Resources,3,Life Sciences,Male,Manager,2,14026,3,33,33,0
1355,38,Sales,2,Life Sciences,Female,Sales Executive,1,6893,3,11,7,1
1356,34,Sales,2,Medical,Female,Sales Executive,1,6125,3,10,10,9
1358,25,Research & Development,1,Medical,Male,Laboratory Technician,4,3669,3,7,3,1
1360,58,Research & Development,4,Medical,Female,Manufacturing Director,1,10008,3,31,10,5
1361,40,Research & Development,4,Life Sciences,Male,Laboratory Technician,2,2387,4,7,4,0
1362,36,Sales,3,Marketing,Female,Sales Executive,1,4639,3,17,15,6
1363,48,Research & Development,3,Life Sciences,Male,Manufacturing Director,4,7898,3,11,10,0
1364,27,Sales,3,Medical,Female,Sales Representative,4,2534,3,5,1,0
1367,51,Research & Development,2,Technical Degree,Female,Manufacturing Director,2,13142,3,29,5,0
1368,18,Research & Development,3,Life Sciences,Female,Laboratory Technician,4,1611,3,0,0,0
1369,35,Research & Development,3,Medical,Female,Laboratory Technician,4,5363,3,10,9,0
1371,27,Sales,1,Life Sciences,Male,Sales Executive,4,5071,4,8,6,0
1372,55,Sales,4,Marketing,Male,Sales Executive,3,13695,3,24,19,3
1373,56,Research & Development,3,Life Sciences,Male,Manufacturing Director,2,13402,3,33,19,15
1374,34,Research & Development,1,Technical Degree,Female,Research Scientist,3,2029,4,5,5,0
1375,40,Research & Development,1,Medical,Female,Healthcare Representative,3,6377,4,15,12,11
1377,34,Research & Development,3,Medical,Male,Laboratory Technician,3,5429,3,10,8,7
1379,31,Sales,3,Life Sciences,Female,Sales Representative,4,2785,3,3,1,0
1380,35,Sales,4,Marketing,Female,Sales Executive,3,4614,3,5,4,3
1382,38,Research & Development,3,Life Sciences,Male,Research Scientist,3,2610,3,4,4,0
1383,34,Research & Development,4,Technical Degree,Female,Healthcare Representative,4,6687,3,14,14,4
1387,28,Sales,3,Life Sciences,Male,Sales Executive,1,4724,3,5,5,0
1389,31,Research & Development,4,Medical,Male,Manufacturing Director,3,6179,3,10,10,6
1390,39,Sales,4,Life Sciences,Male,Sales Executive,4,6120,3,8,5,1
1391,51,Sales,3,Marketing,Male,Sales Executive,2,10596,3,14,4,3
1392,41,Research & Development,3,Life Sciences,Female,Research Scientist,4,5467,3,12,6,3
1394,37,Research & Development,1,Life Sciences,Male,Research Scientist,3,2996,3,8,6,1
1395,33,Sales,1,Life Sciences,Male,Sales Executive,4,9998,3,8,5,1
1396,32,Sales,1,Marketing,Male,Sales Executive,2,4078,3,4,3,1
1397,39,Research & Development,2,Life Sciences,Male,Healthcare Representative,3,10920,4,13,6,0
1399,25,Sales,1,Life Sciences,Male,Sales Executive,3,6232,3,6,3,1
1401,52,Research & Development,2,Medical,Female,Manufacturing Director,3,13247,3,24,5,0
1402,43,Research & Development,3,Medical,Female,Research Scientist,3,4081,3,20,20,1
1403,27,Sales,3,Marketing,Female,Sales Executive,4,5769,3,6,6,4
1405,27,Research & Development,4,Life Sciences,Female,Research Scientist,3,2394,3,8,8,7
1407,26,Research & Development,1,Medical,Male,Research Scientist,4,3904,3,5,4,1
1408,42,Human Resources,3,Human Resources,Female,Manager,1,16799,3,21,20,0
1409,52,Research & Development,4,Other,Female,Laboratory Technician,1,2950,3,12,5,0
1411,37,Research & Development,3,Medical,Female,Laboratory Technician,3,3629,3,8,3,0
1412,35,Research & Development,2,Life Sciences,Male,Manufacturing Director,4,9362,3,10,2,2
1415,25,Research & Development,3,Technical Degree,Male,Laboratory Technician,4,3229,3,7,3,0
1417,26,Research & Development,3,Other,Male,Laboratory Technician,1,3578,3,8,7,0
1419,29,Human Resources,3,Other,Male,Human Resources,1,7988,3,10,10,0
1420,49,Research & Development,2,Life Sciences,Male,Laboratory Technician,1,4284,4,20,4,1
1421,29,Research & Development,1,Other,Female,Healthcare Representative,4,7553,3,9,8,7
1422,54,Research & Development,3,Medical,Female,Research Director,4,17328,3,29,20,12
1423,58,Research & Development,3,Medical,Female,Research Director,1,19701,4,32,9,1
1424,55,Research & Development,4,Medical,Male,Research Director,4,14732,3,31,7,0
1425,36,Sales,4,Marketing,Female,Sales Executive,2,9278,3,15,5,0
1427,31,Sales,4,Life Sciences,Female,Sales Representative,3,1359,3,1,1,0
1428,30,Sales,4,Marketing,Female,Sales Executive,1,4779,3,8,3,0
1430,31,Research & Development,5,Life Sciences,Female,Research Director,2,16422,3,9,3,1
1431,34,Research & Development,4,Other,Male,Research Scientist,1,2996,3,10,4,1
1433,31,Research & Development,3,Life Sciences,Female,Research Scientist,2,1261,3,1,1,0
1434,27,Research & Development,1,Life Sciences,Male,Laboratory Technician,1,2099,3,6,5,1
1435,36,Research & Development,4,Life Sciences,Male,Laboratory Technician,4,5810,3,10,10,1
1436,36,Sales,4,Marketing,Female,Sales Executive,1,5647,3,11,3,0
1438,47,Research & Development,3,Technical Degree,Male,Research Scientist,4,3420,3,17,6,1
1439,25,Sales,2,Life Sciences,Male,Sales Representative,1,4400,3,6,3,2
1440,37,Research & Development,2,Technical Degree,Male,Laboratory Technician,3,3500,3,7,6,1
